sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
52b4287f-1c10-4de9-91f0-13047ec412c2__t0_6586745__evt_00,val,2.8898940086364746,8.572422981262207,3.6142663955688477,12.825165748596191,1.835780143737793,5.045040607452393,-0.724372386932373,-4.252742767333984,0.015625,0.0,0.3485563099384308,1.0397028923034668,4.045047283172607,1.0901354525013283,11.471752166748047,14.82437801361084,1.8356237411499023,2.857940673828125,1.0223169326782227,0.9999656081199646,E_long_horizon_divergence,B_ok,B_ok,0.5,group2_mixed_gt_primary,0.4,True,noisy,51,2,True
52b4287f-1c10-4de9-91f0-13047ec412c2__t0_9686745__evt_01,val,1.11519455909729,0.7192584872245789,5.0325517654418945,16.82762908935547,5.997063636779785,17.53507423400879,-3.9173572063446045,-16.10837060213089,0.015625,0.0,0.32989513874053955,0.820983350276947,1.4721488952636719,0.9915978727612876,6.883677005767822,8.271944046020508,-1.3617582321166992,-1.7192813158035278,0.3575230836868286,0.9999864101409912,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,64,1,True
547ce352-b69b-44cd-bfe2-26c910fb281c__t0_11800000__evt_00,val,1.1622753143310547,5.339978218078613,1.8203150033950806,9.676493644714355,2.9549336433410645,15.01462459564209,-0.6580396890640259,-4.336515426635742,0.1171875,0.0,0.29596614837646484,0.575702428817749,1.556052327156067,1.1147082939409707,6.231816291809082,9.596151351928711,-0.09383902698755264,0.026289254426956177,0.12012828141450882,0.9999968409538269,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,noisy,65,2,True
5481e1c2-ef6e-4f8c-8f29-ff4ad3ad1163__t0_1833181__evt_00,val,0.3261435627937317,1.0675615072250366,4.146931171417236,6.48548698425293,3.871889114379883,5.427419662475586,-3.8207876086235046,-5.417925477027893,0.0234375,0.0,0.07211728394031525,0.04687826707959175,0.4416101276874542,1.0836788444708163,0.2365117073059082,0.4614201486110687,-0.08626134693622589,-0.24142849445343018,0.15516714751720428,0.9999414086341858,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,84,1,True
55fc33e6-e738-411e-a12e-64d0f58372f4__t0_6964974__evt_00,val,0.849310576915741,1.2242261171340942,0.6812458634376526,1.8420555591583252,0.6745989322662354,3.06628155708313,0.16806471347808838,-0.617829442024231,0.015625,0.0,0.26133283972740173,0.6360238790512085,1.1165732145309448,2.4172908629482297,0.0,0.05363715440034866,0.0014116783859208226,0.0024019163101911545,0.0009902379242703319,1.0,C_speed_scale_failure,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,low,49,3,True
565a0a38-5215-4c26-b608-bf3ca5962b39__t0_11274533__evt_02,val,0.2956150770187378,1.2052335739135742,2.1144204139709473,5.555158615112305,1.9995166063308716,5.0922441482543945,-1.8188053369522095,-4.3499250411987305,0.03125,0.0,0.027611861005425453,0.07690558582544327,0.4174346923828125,1.0223472093670325,7.717501640319824,8.46387767791748,-3.227459669113159,-3.1990554332733154,0.02840423583984375,0.9999982714653015,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,32,3,True
565a0a38-5215-4c26-b608-bf3ca5962b39__t0_2674533__evt_00,val,0.27853214740753174,1.2332011461257935,3.415102481842041,11.16215705871582,3.489830493927002,10.886821746826172,-3.1365703344345093,-9.928955912590027,0.0234375,0.0,0.0178548451513052,0.038433291018009186,0.3970218598842621,0.9799547554418514,9.168627738952637,8.429081916809082,-7.884979248046875,-7.016725540161133,0.8682537078857422,0.9999062418937683,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,72,1,True
565a0a38-5215-4c26-b608-bf3ca5962b39__t0_8774533__evt_01,val,0.12430661916732788,0.3433435261249542,3.034585952758789,6.959290981292725,3.0334982872009277,7.277990818023682,-2.910279333591461,-6.61594745516777,0.0234375,0.0,0.02010887861251831,0.07732308655977249,0.17166922986507416,0.9965842162279439,8.557860374450684,8.440229415893555,4.653085231781006,4.926627159118652,0.2735419273376465,0.9999865293502808,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,high,58,1,True
57fe033f-27fc-439e-ac8c-f90fb2269c62__t0_2978906__evt_00,val,1.3180451393127441,3.5846810340881348,5.552887916564941,15.166418075561523,6.373439788818359,17.785533905029297,-4.234842777252197,-11.581737041473389,0.0078125,0.0,0.09283383190631866,0.31608378887176514,1.8749594688415527,1.1068145392048543,7.660580158233643,8.40465259552002,-9.90977954864502,-9.437204360961914,0.47257518768310547,0.998845636844635,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,100,1,True
594d2c54-ca9a-4bda-be8e-532b2fc359fb__t0_6659114__evt_00,val,0.26023802161216736,0.34566864371299744,1.5380980968475342,2.843655824661255,1.4875972270965576,2.52618670463562,-1.2778600752353668,-2.4979871809482574,0.0078125,0.0,0.15421800315380096,0.3221527338027954,0.30842897295951843,1.0176431749320254,0.2668381631374359,0.044408299028873444,0.02650056965649128,-0.07532132416963577,0.1018218919634819,0.9999854564666748,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,medium,60,1,True
5aebbdbb-3249-4abb-b51f-fb433f6f5f87__t0_3991716__evt_00,val,0.8518865704536438,0.3012363612651825,6.393536567687988,16.537887573242188,5.567706108093262,16.635557174682617,-5.5416499972343445,-16.236651211977005,0.0,0.0,0.40875139832496643,0.9849159121513367,1.0533115863800049,1.0018290599426196,5.404510498046875,5.678887367248535,-0.7058584094047546,-1.0018974542617798,0.29603904485702515,0.9999379515647888,ok_or_low_error,A_good,A_good,1.0,group1_teacher_trusted,1.0,True,low,109,1,True
