sample_id,split,teacher_ADE_to_GT,teacher_FDE_to_GT,student_ADE_to_GT,student_FDE_to_GT,student_vs_teacher_ADE,student_vs_teacher_FDE,teacher_minus_student_ADE,teacher_minus_student_FDE,teacher_token_match_3000,teacher_invalid_i3000plus_rate,teacher_early_ADE,teacher_early_FDE,teacher_late_ADE,teacher_path_length_ratio,gt_final_speed_mps,teacher_final_speed_mps,gt_final_y_m,teacher_final_y_m,teacher_final_lateral_error_m,teacher_direction_cosine,teacher_failure_tags,teacher_abs_bin,group,kd_weight,relative_kd_group,relative_kd_weight,prefix_teacher_good,teacher_quality_bucket,teacher_unique_ids,teacher_max_same_token_run,student_summary_available
0262ea23-9be7-430e-8c62-d251b4cd9b01__t0_14887532__evt_00,train,0.6977486610412598,1.8886924982070923,0.3053140640258789,2.271717071533203,0.8229446411132812,2.9158756732940674,0.39243459701538086,-0.38302457332611084,0.0859375,0.0,0.09720305353403091,0.2646663188934326,0.9707239270210266,0.9866122649175512,23.642187118530273,23.07696533203125,-7.180109977722168,-7.184587001800537,0.004477024078369141,0.9999997019767761,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,low,57,1,True
027c10f0-ca30-414a-8fdd-d4200b736b9f__t0_12983236__evt_00,train,1.9750010967254639,3.1757123470306396,0.32756781578063965,0.6174235343933105,2.30025577545166,3.793131113052368,1.6474332809448242,2.558288812637329,0.0234375,0.0,0.4479387700557709,1.254653811454773,2.6691205501556396,1.8100166966000821,0.0,0.09957148879766464,-0.021297147497534752,-0.044797834008932114,0.023500686511397362,0.9999995231628418,C_speed_scale_failure;E_long_horizon_divergence,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,72,1,True
02a6d7ea-2474-4296-811d-d46354b3381b__t0_2926428__evt_00,train,2.359236001968384,8.539670944213867,0.00815396849066019,0.006986822001636028,2.358032703399658,8.537111282348633,2.3510820334777236,8.532684122212231,0.0234375,0.0,0.0943523421883583,0.312669962644577,3.388728380203247,1.3935480989556066,2.5289716720581055,5.099905490875244,-0.22388380765914917,-0.3794616758823395,0.1555778682231903,0.9999975562095642,C_speed_scale_failure;E_long_horizon_divergence,B_ok,B_ok,0.5,group3_teacher_downweight_or_exclude,0.0,True,noisy,74,1,True
02b17c24-05a9-4ddf-8090-40ef7b0e741e__t0_7726041__evt_00,train,1.1086018085479736,2.9849307537078857,0.33549681305885315,1.0176528692245483,1.4111685752868652,3.7761638164520264,0.7731049954891205,1.9672778844833374,0.046875,0.0,0.17067429423332214,0.5335252285003662,1.5349326133728027,0.9691006653262515,15.315825462341309,14.307852745056152,0.6469904184341431,0.29666805267333984,0.3503223657608032,0.999993622303009,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,55,1,True
02fbf3cd-7161-4619-8f63-24bd8305038c__t0_12606587__evt_00,train,0.43825533986091614,0.23532436788082123,0.005340732168406248,0.006607577670365572,0.4375806748867035,0.24055330455303192,0.4329146076925099,0.22871679021045566,0.0390625,0.0,0.07310156524181366,0.3322611153125763,0.6042343378067017,0.9710331726450843,0.008396347984671593,0.20066140592098236,0.1663670688867569,0.12081065028905869,0.04555641859769821,0.9999842047691345,ok_or_low_error,A_good,A_good,1.0,group2_mixed_gt_primary,0.4,True,medium,85,2,True
033c9e61-c529-4e08-8b64-266db4edaf6e__t0_12340943__evt_00,train,4.7850661277771,8.009927749633789,0.05394424498081207,0.44827115535736084,4.8242974281311035,8.458195686340332,4.7311218827962875,7.561656594276428,0.0,0.0,0.9789263606071472,2.5649356842041016,6.515130519866943,1.750526648693241,0.12583531439304352,0.09104984998703003,-0.6240416169166565,-1.2226922512054443,0.5986506342887878,0.999973475933075,C_speed_scale_failure;E_long_horizon_divergence,D_middle,D_middle,0.25,group3_teacher_downweight_or_exclude,0.0,False,noisy,77,2,True
035949a0-989d-4b0c-9a34-1f971e2915d8__t0_10520480__evt_00,train,1.2109326124191284,2.4659979343414307,0.07217083126306534,0.08771955221891403,1.2226054668426514,2.5049054622650146,1.138761781156063,2.3782783821225166,0.015625,0.0,0.25124865770339966,0.7173391580581665,1.6471526622772217,0.9443555054162833,7.6990180015563965,7.15247917175293,8.44410228729248,7.267083644866943,1.177018642425537,0.9998447299003601,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,88,1,True
035949a0-989d-4b0c-9a34-1f971e2915d8__t0_15920480__evt_01,train,0.6922774314880371,3.148355484008789,0.17382553219795227,0.8338326811790466,0.6098936796188354,2.314554214477539,0.5184518992900848,2.3145228028297424,0.015625,0.0,0.05609304457902908,0.10758960247039795,0.9814520478248596,1.0617028250609322,7.4547648429870605,9.175188064575195,-14.965376853942871,-15.977154731750488,1.0117778778076172,0.999998927116394,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,77,3,True
03a83788-ce57-4bec-bf99-e6e82f64227a__t0_7156134__evt_00,train,2.25083065032959,6.252262115478516,0.009997766464948654,0.012702726759016514,2.248795986175537,6.245302677154541,2.240832883864641,6.239559388719499,0.015625,0.0,0.08643119037151337,0.3073793947696686,3.2346487045288086,1.5757027832128268,1.5060558319091797,2.2794134616851807,0.016874361783266068,2.9981038570404053,2.981229543685913,0.9852616190910339,B_curvature_or_lateral_failure;C_speed_scale_failure;E_long_horizon_divergence,B_ok,B_ok,0.5,group3_teacher_downweight_or_exclude,0.0,True,noisy,89,1,True
04b4b3e7-216d-425c-8351-fb8045ecb609__t0_6257584__evt_01,train,1.7019498348236084,3.160719156265259,0.023406367748975754,0.02780994214117527,1.6990532875061035,3.153031587600708,1.6785434670746326,3.1329092141240835,0.0078125,0.0,0.5103362798690796,1.356480360031128,2.2435925006866455,1.2617675519697182,0.0,0.5223691463470459,-0.21108894050121307,-0.45062631368637085,0.23953737318515778,0.9999280571937561,ok_or_low_error,A_good,A_good,1.0,group3_teacher_downweight_or_exclude,0.0,True,low,62,1,True
